(-85, 1) 18 1288 169
(-85, 2) 18 1288 169
(-85, 3) 18 1288 169
(-85, 4) 18 1288 169
(-85, 5) 18 1288 169
(-85, 6) 18 1289 169
(-85, 7) 18 1289 169
(-85, 8) 18 1289 169
(-85, 9) 18 1289 169
(-85, 10) 18 1289 169
(-85, 11) 18 1290 170
(-85, 12) 18 1290 170
(-85, 13) 18 1290 170
(-85, 14) 18 1290 170
(-85, 15) 18 1290 170
(-85, 16) 18 1291 170
(-85, 17) 18 1291 170
(-85, 18) 18 1291 170
(-85, 19) 18 1291 170
(-85, 20) 18 1291 170
(-85, 21) 19 1356 178
(-85, 22) 19 1356 178
(-85, 23) 19 1356 178
(-85, 24) 19 1356 178
(-85, 25) 19 1356 178
(-85, 26) 19 1357 178
(-85, 27) 19 1357 178
(-85, 28) 19 1357 178
(-85, 29) 19 1357 178
(-85, 30) 19 1357 178
(-85, 31) 19 1358 179
(-85, 32) 19 1358 179
(-85, 33) 19 1358 179
(-85, 34) 19 1358 179
(-85, 35) 19 1358 179
(-85, 36) 19 1359 179
(-85, 37) 19 1359 179
(-85, 38) 19 1359 179
(-85, 39) 19 1359 179
(-85, 40) 19 1359 179
(-85, 41) 20 1424 187
(-85, 42) 20 1424 187
(-85, 43) 20 1424 187
(-85, 44) 20 1424 187
(-85, 45) 20 1424 187
(-85, 46) 20 1425 187
(-85, 47) 20 1425 187
(-85, 48) 20 1425 187
(-85, 49) 20 1425 187
(-85, 50) 20 1425 187
(-85, 51) 20 1426 188
(-85, 52) 20 1426 188
(-85, 53) 20 1426 188
(-85, 54) 20 1426 188
(-85, 55) 20 1426 188
(-85, 56) 20 1427 188
(-85, 57) 20 1427 188
(-85, 58) 20 1427 188
(-85, 59) 20 1427 188
(-85, 60) 20 1427 188
(-85, 61) 21 1492 196
(-85, 62) 21 1492 196
(-85, 63) 21 1492 196
(-85, 64) 21 1492 196
(-85, 65) 21 1492 196
(-85, 66) 21 1493 196
(-85, 67) 21 1493 196
(-85, 68) 21 1493 196
(-85, 69) 21 1493 196
(-85, 70) 21 1493 196
(-85, 71) 21 1494 197
(-85, 72) 21 1494 197
(-85, 73) 21 1494 197
(-85, 74) 21 1494 197
(-85, 75) 21 1494 197
(-85, 76) 21 1495 197
(-85, 77) 21 1495 197
(-85, 78) 21 1495 197
(-85, 79) 21 1495 197
(-85, 80) 21 1495 197
(-85, 81) 22 1560 205
(-85, 82) 22 1560 205
(-85, 83) 22 1560 205
(-85, 84) 22 1560 205
(-85, 85) 22 1560 205
(-85, 86) 22 1561 205
(-85, 87) 22 1561 205
(-85, 88) 22 1561 205
(-85, 89) 22 1561 205
(-85, 90) 22 1561 205
(-85, 91) 22 1562 206
(-85, 92) 22 1562 206
(-85, 93) 22 1562 206
(-85, 94) 22 1562 206
(-85, 95) 22 1562 206
(-85, 96) 22 1563 206
(-85, 97) 22 1563 206
(-85, 98) 22 1563 206
(-85, 99) 22 1563 206
(-85, 100) 22 1563 206
(-85, 101) 23 1628 214
